"DateTime";"Arg12b1f";"Arg12b2f";"Arg12b3f"
"2022-05-10 08:20:38";;16,66406
"2022-05-10 08:28:43";;;12,46777
"2022-05-10 08:32:22";12,44531
"2022-05-10 08:32:40";;16,83301
"2022-05-10 08:40:48";;;10,71875
"2022-05-10 08:44:26";12,89746
"2022-05-10 08:44:44";;17,72363
"2022-05-10 08:52:51";;;11,22168
"2022-05-10 08:56:31";16,42773
"2022-05-10 08:56:50";;20,00195
"2022-05-10 09:04:58";;;13,20605
"2022-05-10 09:08:35";16,87402
"2022-05-10 09:08:56";;19,3584
"2022-05-10 09:17:01";;;15,54004
"2022-05-10 09:20:40";17,65625
"2022-05-10 09:21:00";;19,78418
"2022-05-10 09:29:06";;;13,75781
"2022-05-10 09:32:44";16,92676
"2022-05-10 09:33:04";;18,93652
"2022-05-10 09:41:09";;;13,85156
"2022-05-10 09:44:49";16,52734
"2022-05-10 09:45:08";;18,84863
"2022-05-10 09:53:14";;;14,16406
"2022-05-10 09:56:56";15,85938
"2022-05-10 09:57:13";;18,06641
"2022-05-10 10:05:19";;;14,63574
"2022-05-10 10:08:58";16,39063
"2022-05-10 10:09:19";;18,08789
"2022-05-10 10:17:23";;;13,5459
"2022-05-10 10:21:03";15,20898
"2022-05-10 10:21:24";;17,34375
"2022-05-10 10:29:29";;;13,42188
"2022-05-10 10:33:08";16,49414
"2022-05-10 10:33:29";;17,2334
"2022-05-10 10:41:32";;;13,10352
"2022-05-10 10:45:12";14,58496
"2022-05-10 10:45:32";;16,41992
"2022-05-10 10:53:37";;;11,43164
"2022-05-10 10:57:17";13,17676
"2022-05-10 10:57:38";;15,15918
"2022-05-10 11:05:41";;;10,625
"2022-05-10 11:09:22";12,91797
"2022-05-10 11:09:43";;14,98438
"2022-05-10 11:17:45";;;10,3457
"2022-05-10 11:21:27";13,52637
"2022-05-10 11:21:47";;15,28223
"2022-05-10 11:29:51";;;11,17871
"2022-05-10 11:33:31";13,14355
"2022-05-10 11:33:53";;15,46289
"2022-05-10 11:41:55";;;11,16895
"2022-05-10 11:45:37";13,30469
"2022-05-10 11:45:57";;15,33594
"2022-05-10 11:54:01";;;12,54688
"2022-05-10 11:57:41";13,77148
"2022-05-10 11:58:01";;16,10156
"2022-05-10 12:06:04";;;12,49414
"2022-05-10 12:09:47";14,72852
"2022-05-10 12:10:06";;16,81934
"2022-05-10 12:18:07";;;12,55957
"2022-05-10 12:21:52";14,18848
"2022-05-10 12:22:12";;16,45508
"2022-05-10 12:30:12";;;12,85156
"2022-05-10 12:33:56";14,30371
"2022-05-10 12:34:16";;16,3457
"2022-05-10 12:42:17";;;12,7959
"2022-05-10 12:46:00";14,46289
"2022-05-10 12:46:21";;16,79688
"2022-05-10 12:54:22";;;13,39746
"2022-05-10 12:58:06";14,63672
"2022-05-10 12:58:26";;16,77246
"2022-05-10 13:06:26";;;13,19141
"2022-05-10 13:10:10";14,61914
"2022-05-10 13:10:31";;16,75
"2022-05-10 13:18:31";;;12,85156
"2022-05-10 13:22:17";14,48242
"2022-05-10 13:22:35";;16,97266
"2022-05-10 13:30:36";;;12,98145
"2022-05-10 13:34:20";14,53027
"2022-05-10 13:34:40";;16,62207
"2022-05-10 13:42:40";;;12,11133
"2022-05-10 13:46:26";14,49609
"2022-05-10 13:46:44";;16,79199
"2022-05-10 13:54:44";;;12,72754
"2022-05-10 13:58:31";14,64453
"2022-05-10 13:58:49";;16,99414
"2022-05-10 14:06:48";;;12,41602
"2022-05-10 14:10:35";14,32129
"2022-05-10 14:10:54";;16,8418
"2022-05-10 14:18:55";;;12,64063
"2022-05-10 14:22:40";14,61133
"2022-05-10 14:22:59";;17,0791
"2022-05-10 14:30:59";;;13,05664
"2022-05-10 14:34:46";14,82031
"2022-05-10 14:35:05";;17,19043
"2022-05-10 14:43:03";;;13,16504
"2022-05-10 14:46:50";14,75977
"2022-05-10 14:47:09";;17,23926
"2022-05-10 14:55:07";;;13,8916
"2022-05-10 14:58:57";15,55078
"2022-05-10 14:59:13";;17,96875
"2022-05-10 15:07:12";;;14,12695
"2022-05-10 15:10:59";15,92773
"2022-05-10 15:11:18";;18,00098
"2022-05-10 15:19:17";;;14,25391
"2022-05-10 15:23:03";15,91504
"2022-05-10 15:23:23";;18,27148
"2022-05-10 15:31:22";;;14,42676
"2022-05-10 15:35:08";16,21777
"2022-05-10 15:35:28";;18,40332
"2022-05-10 15:43:27";;;14,15039
"2022-05-10 15:47:13";15,91211
"2022-05-10 15:47:34";;18,49414
"2022-05-10 15:55:31";;;14,43066
"2022-05-10 15:59:19";16,03906
"2022-05-10 15:59:37";;18,4707
"2022-05-10 16:07:37";;;14,61719
"2022-05-10 16:11:22";16,08105
"2022-05-10 16:11:41";;18,42676
"2022-05-10 16:19:41";;;15,20996
"2022-05-10 16:23:27";16,54688
"2022-05-10 16:23:46";;19,13867
"2022-05-10 16:31:45";;;15,31543
"2022-05-10 16:35:32";16,24414
"2022-05-10 16:35:50";;18,88477
"2022-05-10 16:43:49";;;15,36133
"2022-05-10 16:47:35";16,84473
"2022-05-10 16:47:55";;19,49219
"2022-05-10 16:55:53";;;15,80859
"2022-05-10 16:59:42";16,35742
"2022-05-10 16:59:59";;18,96973
"2022-05-10 17:07:58";;;15,35938
"2022-05-10 17:11:46";17,41309
"2022-05-10 17:12:06";;20,07715
"2022-05-10 17:20:04";;;16,29492
"2022-05-10 17:23:51";18,50293
"2022-05-10 17:24:09";;20,65918
"2022-05-10 17:32:09";;;17,75781
"2022-05-10 17:35:55";19,7998
"2022-05-10 17:36:14";;21,95117
"2022-05-10 17:44:14";;;20,5127
"2022-05-10 17:48:00";21,87012
"2022-05-10 17:48:18";;23,81152
"2022-05-10 17:56:19";;;21,80664
"2022-05-10 18:00:05";22,5293
"2022-05-10 18:00:23";;24,93652
"2022-05-10 18:08:23";;;22,96582
"2022-05-10 18:12:11";23,59863
"2022-05-10 18:12:28";;26,02148
"2022-05-10 18:20:26";;;23,21875
"2022-05-10 18:24:15";24,25293
"2022-05-10 18:24:32";;26,70313
"2022-05-10 18:32:31";;;23,65723
"2022-05-10 18:36:19";24,71484
"2022-05-10 18:36:37";;27,1875
"2022-05-10 18:44:35";;;24,84863
"2022-05-10 18:48:23";25,77637
"2022-05-10 18:48:42";;28,08984
"2022-05-10 18:56:40";;;25,8252
"2022-05-10 19:00:29";26,55957
"2022-05-10 19:00:47";;29,08008
"2022-05-10 19:08:45";;;26,76953
"2022-05-10 19:12:33";27,71289
"2022-05-10 19:12:52";;30,03418
"2022-05-10 19:20:49";;;28,13281
"2022-05-10 19:24:38";28,23633
"2022-05-10 19:24:56";;30,52832
"2022-05-10 19:32:54";;;28,17383
"2022-05-10 19:36:42";28,32422
"2022-05-10 19:37:02";;30,81836
"2022-05-10 19:44:58";;;27,19727
"2022-05-10 19:48:48";28,05566
"2022-05-10 19:49:06";;30,5752
"2022-05-10 19:57:02";;;27,94434
"2022-05-10 20:00:53";27,81836
"2022-05-10 20:01:11";;30,16016
"2022-05-10 20:09:06";;;28,19629
"2022-05-10 20:12:57";28,10938
"2022-05-10 20:13:15";;30,58301
"2022-05-10 20:21:12";;;28,67188
"2022-05-10 20:25:04";29,11719
"2022-05-10 20:25:20";;31,52344
"2022-05-10 20:33:15";;;29,31641
"2022-05-10 20:37:06";29,72852
"2022-05-10 20:37:26";;31,95898
"2022-05-10 20:45:20";;;30,47949
"2022-05-10 20:49:10";30,21289
"2022-05-10 20:49:29";;32,42285
"2022-05-10 20:57:25";;;31,70801
"2022-05-10 21:01:16";30,89355
"2022-05-10 21:01:35";;32,92773
"2022-05-10 21:09:28";;;31,20215
"2022-05-10 21:13:21";30,83301
"2022-05-10 21:13:39";;32,90332
"2022-05-10 21:21:32";;;31,01367
"2022-05-10 21:25:26";31,19824
"2022-05-10 21:25:45";;33,3584
"2022-05-10 21:33:36";;;31,47559
"2022-05-10 21:37:29";31,55664
"2022-05-10 21:37:50";;33,75488
"2022-05-10 21:45:42";;;31,88574
"2022-05-10 21:49:35";32,07031
"2022-05-10 21:49:55";;34,33594
"2022-05-10 21:57:46";;;32,37207
"2022-05-10 22:01:40";32,42578
"2022-05-10 22:01:58";;34,58984
"2022-05-10 22:09:50";;;32,67578
"2022-05-10 22:13:43";32,57617
"2022-05-10 22:14:04";;34,79297
"2022-05-10 22:21:55";;;32,85156
"2022-05-10 22:25:49";32,82031
"2022-05-10 22:26:09";;34,88281
"2022-05-10 22:34:00";;;33,3457
"2022-05-10 22:37:54";33,10254
"2022-05-10 22:38:14";;35,21777
"2022-05-10 22:46:05";;;33,77246
"2022-05-10 22:49:59";32,9248
"2022-05-10 22:50:18";;35,19922
"2022-05-10 22:58:09";;;33,66992
"2022-05-10 23:02:05";33,18652
"2022-05-10 23:02:23";;35,29395
"2022-05-10 23:10:16";;;33,49414
"2022-05-10 23:14:09";33,36914
"2022-05-10 23:14:27";;35,66309
"2022-05-10 23:22:19";;;33,52051
"2022-05-10 23:26:13";33,43945
"2022-05-10 23:26:33";;35,68164
"2022-05-10 23:34:22";;;34,21875
"2022-05-10 23:38:18";33,87305
"2022-05-10 23:38:37";;36,05957
"2022-05-10 23:46:28";;;34,30566
"2022-05-10 23:50:23";33,60059
"2022-05-10 23:50:43";;35,9082
"2022-05-10 23:58:32";;;34,40527
"2022-05-11 00:02:28";33,93066
"2022-05-11 00:02:47";;36,13672
"2022-05-11 00:10:37";;;34,0791
"2022-05-11 00:14:32";33,96387
"2022-05-11 00:14:53";;36,21289
"2022-05-11 00:22:41";;;34,29102
"2022-05-11 00:26:37";34,28418
"2022-05-11 00:26:57";;36,74316
"2022-05-11 00:34:47";;;34,61523
"2022-05-11 00:38:41";34,34082
"2022-05-11 00:39:01";;36,59082
"2022-05-11 00:46:50";;;35,24414
"2022-05-11 00:50:46";34,42773
"2022-05-11 00:51:06";;36,63574
"2022-05-11 00:58:55";;;34,96777
"2022-05-11 01:02:51";34,64746
"2022-05-11 01:03:11";;36,83594
"2022-05-11 01:10:59";;;35,5332
"2022-05-11 01:14:55";35,29395
"2022-05-11 01:15:15";;37,44043
"2022-05-11 01:23:04";;;35,32813
"2022-05-11 01:27:01";34,84961
"2022-05-11 01:27:21";;36,97168
"2022-05-11 01:35:08";;;35,94629
"2022-05-11 01:39:05";35,33496
"2022-05-11 01:39:27";;37,52051
"2022-05-11 01:47:11";;;36,15137
"2022-05-11 01:51:10";35,26953
"2022-05-11 01:51:29";;37,05176
"2022-05-11 01:59:15";;;35,8418
"2022-05-11 02:03:15";35,41113
"2022-05-11 02:03:35";;37,45996
"2022-05-11 02:11:20";;;35,72266
"2022-05-11 02:15:20";34,78027
"2022-05-11 02:15:39";;36,5918
"2022-05-11 02:23:25";;;34,5957
"2022-05-11 02:27:23";34,76563
"2022-05-11 02:27:45";;36,64258
"2022-05-11 02:35:29";;;33,76465
"2022-05-11 02:39:29";34,76563
"2022-05-11 02:39:50";;36,67285
"2022-05-11 02:47:34";;;35,05762
"2022-05-11 02:51:33";34,70703
"2022-05-11 02:51:54";;37,02246
"2022-05-11 02:59:37";;;35,31641
"2022-05-11 03:03:37";34,90234
"2022-05-11 03:03:58";;36,93848
"2022-05-11 03:11:43";;;36,45117
"2022-05-11 03:15:42";35,19824
"2022-05-11 03:16:03";;36,80762
"2022-05-11 03:23:46";;;35,5957
"2022-05-11 03:27:48";35,11816
"2022-05-11 03:28:09";;36,81738
"2022-05-11 03:35:53";;;35,72656
"2022-05-11 03:39:53";34,32813
"2022-05-11 03:40:13";;36,49316
"2022-05-11 03:47:55";;;35,53125
"2022-05-11 03:51:59";34,99121
"2022-05-11 03:52:19";;36,9707
"2022-05-11 04:00:00";;;34,99512
"2022-05-11 04:04:02";34,7998
"2022-05-11 04:04:23";;37,20703
"2022-05-11 04:12:04";;;34,81934
"2022-05-11 04:16:06";35,14355
"2022-05-11 04:16:27";;37,39551
"2022-05-11 04:24:08";;;35,27344
"2022-05-11 04:28:12";35,49609
"2022-05-11 04:28:34";;37,53711
"2022-05-11 04:36:14";;;34,44238
"2022-05-11 04:40:17";34,74805
"2022-05-11 04:40:37";;37,14355
"2022-05-11 04:48:18";;;34,93262
"2022-05-11 04:52:22";34,35742
"2022-05-11 04:52:42";;36,16309
"2022-05-11 05:00:21";;;34,79492
"2022-05-11 05:04:27";33,9541
"2022-05-11 05:04:47";;36,14355
"2022-05-11 05:12:27";;;34,34375
"2022-05-11 05:16:30";34,45313
"2022-05-11 05:16:52";;36,73633
"2022-05-11 05:24:30";;;34,54199
"2022-05-11 05:28:36";33,24023
"2022-05-11 05:28:56";;35,64063
"2022-05-11 05:36:34";;;33,69629
"2022-05-11 05:40:41";33,71289
"2022-05-11 05:41:01";;35,77441
"2022-05-11 05:48:39";;;33,35156
"2022-05-11 05:52:46";31,83301
"2022-05-11 05:53:07";;33,92285
"2022-05-11 06:00:45";;;29,73242
"2022-05-11 06:04:51";30,7168
"2022-05-11 06:05:11";;33,3877
"2022-05-11 06:12:48";;;24,30469
"2022-05-11 06:16:57";23,5791
"2022-05-11 06:17:16";;27,81152
"2022-05-11 06:24:54";;;19,64063
"2022-05-11 06:29:00";20,98828
"2022-05-11 06:29:22";;25,43359
"2022-05-11 06:36:58";;;18,57715
"2022-05-11 06:41:04";17,86914
"2022-05-11 06:41:25";;22,55762
"2022-05-11 06:49:01";;;16,08301
"2022-05-11 06:53:10";16,58203
"2022-05-11 06:53:29";;21,3916
"2022-05-11 07:01:07";;;15,44727
"2022-05-11 07:05:14";16,22168
"2022-05-11 07:05:36";;20,80566
"2022-05-11 07:13:10";;;14,80469
"2022-05-11 07:17:18";14,78809
"2022-05-11 07:17:40";;19,06348
"2022-05-11 07:25:15";;;14
"2022-05-11 07:29:23";14,33984
"2022-05-11 07:29:44";;18,73145
"2022-05-11 07:37:21";;;13,21387
"2022-05-11 07:41:29";14,12793
"2022-05-11 07:41:49";;18,25195
"2022-05-11 07:49:26";;;13,47656
"2022-05-11 07:53:34";13,84766
"2022-05-11 07:53:53";;17,86914
"2022-05-11 08:01:31";;;12,93848
"2022-05-11 08:05:37";12,72656
"2022-05-11 08:05:58";;16,59961
"2022-05-11 08:13:34";;;11,84961
"2022-05-11 08:17:43";11,99219
"2022-05-11 08:18:03";;16,1416